Geography,Code,Date,Units,Metric,variable,value
United Kingdom,K02000001,2010,Thousands,Total changes of keeper,Bus-n-coach,38.06
United Kingdom,K02000001,2011,Thousands,Total changes of keeper,Bus-n-coach,35.3
United Kingdom,K02000001,2012,Thousands,Total changes of keeper,Bus-n-coach,32.44
United Kingdom,K02000001,2013,Thousands,Total changes of keeper,Bus-n-coach,28.69
United Kingdom,K02000001,2014,Thousands,Total changes of keeper,Bus-n-coach,23.84
United Kingdom,K02000001,2015,Thousands,Total changes of keeper,Bus-n-coach,25.44
United Kingdom,K02000001,2016,Thousands,Total changes of keeper,Bus-n-coach,24.21
United Kingdom,K02000001,2017,Thousands,Total changes of keeper,Bus-n-coach,24.33
United Kingdom,K02000001,2018,Thousands,Total changes of keeper,Bus-n-coach,23.72
United Kingdom,K02000001,2019,Thousands,Total changes of keeper,Bus-n-coach,23.64
United Kingdom,K02000001,2020,Thousands,Total changes of keeper,Bus-n-coach,21.85
United Kingdom,K02000001,2021,Thousands,Total changes of keeper,Bus-n-coach,23.1
United Kingdom,K02000001,2022,Thousands,Total changes of keeper,Bus-n-coach,20.38
United Kingdom,K02000001,2010,Thousands,Vehicles with 0 changes,Bus-n-coach,174.18
United Kingdom,K02000001,2011,Thousands,Vehicles with 0 changes,Bus-n-coach,189.88
United Kingdom,K02000001,2012,Thousands,Vehicles with 0 changes,Bus-n-coach,176.29
United Kingdom,K02000001,2013,Thousands,Vehicles with 0 changes,Bus-n-coach,174.6
United Kingdom,K02000001,2014,Thousands,Vehicles with 0 changes,Bus-n-coach,178.83
United Kingdom,K02000001,2015,Thousands,Vehicles with 0 changes,Bus-n-coach,186.42
United Kingdom,K02000001,2016,Thousands,Vehicles with 0 changes,Bus-n-coach,190.29
United Kingdom,K02000001,2017,Thousands,Vehicles with 0 changes,Bus-n-coach,192.8
United Kingdom,K02000001,2018,Thousands,Vehicles with 0 changes,Bus-n-coach,193.45
United Kingdom,K02000001,2019,Thousands,Vehicles with 0 changes,Bus-n-coach,193.89
United Kingdom,K02000001,2020,Thousands,Vehicles with 0 changes,Bus-n-coach,192.78
United Kingdom,K02000001,2021,Thousands,Vehicles with 0 changes,Bus-n-coach,190.85
United Kingdom,K02000001,2022,Thousands,Vehicles with 0 changes,Bus-n-coach,192.33
United Kingdom,K02000001,2010,Thousands,Vehicles with 1 changes,Bus-n-coach,25.05
United Kingdom,K02000001,2011,Thousands,Vehicles with 1 changes,Bus-n-coach,24.32
United Kingdom,K02000001,2012,Thousands,Vehicles with 1 changes,Bus-n-coach,23.79
United Kingdom,K02000001,2013,Thousands,Vehicles with 1 changes,Bus-n-coach,22.34
United Kingdom,K02000001,2014,Thousands,Vehicles with 1 changes,Bus-n-coach,18.68
United Kingdom,K02000001,2015,Thousands,Vehicles with 1 changes,Bus-n-coach,20.19
United Kingdom,K02000001,2016,Thousands,Vehicles with 1 changes,Bus-n-coach,19.64
United Kingdom,K02000001,2017,Thousands,Vehicles with 1 changes,Bus-n-coach,19.45
United Kingdom,K02000001,2018,Thousands,Vehicles with 1 changes,Bus-n-coach,18.84
United Kingdom,K02000001,2019,Thousands,Vehicles with 1 changes,Bus-n-coach,18.44
United Kingdom,K02000001,2020,Thousands,Vehicles with 1 changes,Bus-n-coach,17.08
United Kingdom,K02000001,2021,Thousands,Vehicles with 1 changes,Bus-n-coach,17.78
United Kingdom,K02000001,2022,Thousands,Vehicles with 1 changes,Bus-n-coach,15.81
United Kingdom,K02000001,2010,Thousands,Vehicles with 2 changes,Bus-n-coach,3.8
United Kingdom,K02000001,2011,Thousands,Vehicles with 2 changes,Bus-n-coach,3.62
United Kingdom,K02000001,2012,Thousands,Vehicles with 2 changes,Bus-n-coach,3.31
United Kingdom,K02000001,2013,Thousands,Vehicles with 2 changes,Bus-n-coach,2.65
United Kingdom,K02000001,2014,Thousands,Vehicles with 2 changes,Bus-n-coach,2.22
United Kingdom,K02000001,2015,Thousands,Vehicles with 2 changes,Bus-n-coach,2.23
United Kingdom,K02000001,2016,Thousands,Vehicles with 2 changes,Bus-n-coach,1.97
United Kingdom,K02000001,2017,Thousands,Vehicles with 2 changes,Bus-n-coach,2.05
United Kingdom,K02000001,2018,Thousands,Vehicles with 2 changes,Bus-n-coach,2.06
United Kingdom,K02000001,2019,Thousands,Vehicles with 2 changes,Bus-n-coach,2.11
United Kingdom,K02000001,2020,Thousands,Vehicles with 2 changes,Bus-n-coach,1.94
United Kingdom,K02000001,2021,Thousands,Vehicles with 2 changes,Bus-n-coach,2.16
United Kingdom,K02000001,2022,Thousands,Vehicles with 2 changes,Bus-n-coach,1.87
United Kingdom,K02000001,2010,Thousands,Vehicles with 3 changes,Bus-n-coach,0.69
United Kingdom,K02000001,2011,Thousands,Vehicles with 3 changes,Bus-n-coach,0.54
United Kingdom,K02000001,2012,Thousands,Vehicles with 3 changes,Bus-n-coach,0.37
United Kingdom,K02000001,2013,Thousands,Vehicles with 3 changes,Bus-n-coach,0.27
