Geography,Code,Date,Units,Metric,Cars,Mcycles,LGVs,HGVs,Bus-n-coach,Others,Total
United Kingdom,K02000001.,2010,Thousands,Total changes of keeper,7651.27,718.54,856.76,97.09,38.06,99.91,9461.63
United Kingdom,K02000001.,2011,Thousands,Total changes of keeper,7406.98,605.69,839.21,86.13,35.3,96.3,9069.6
United Kingdom,K02000001.,2012,Thousands,Total changes of keeper,7699.21,483.19,832.87,115.27,32.44,82.97,9245.95
United Kingdom,K02000001.,2013,Thousands,Total changes of keeper,7114.26,397.76,735.16,58.73,28.69,60.59,8395.18
United Kingdom,K02000001.,2014,Thousands,Total changes of keeper,6799.37,380.6,714.7,52.92,23.84,57.15,8028.58
United Kingdom,K02000001.,2015,Thousands,Total changes of keeper,7734.13,485.43,845.82,65.02,25.44,79.45,9235.28
United Kingdom,K02000001.,2016,Thousands,Total changes of keeper,7709.01,472.7,851.3,63.36,24.21,76.17,9196.75
United Kingdom,K02000001.,2017,Thousands,Total changes of keeper,7740.38,486.69,893.02,64.42,24.33,79.02,9287.86
United Kingdom,K02000001.,2018,Thousands,Total changes of keeper,7521.04,471.45,902.08,69.7,23.72,79.86,9067.86
United Kingdom,K02000001.,2019,Thousands,Total changes of keeper,7551.08,472.24,925.0,69.0,23.64,80.84,9121.81
United Kingdom,K02000001.,2020,Thousands,Total changes of keeper,6563.43,480.01,932.31,69.92,21.85,83.04,8150.56
United Kingdom,K02000001.,2021,Thousands,Total changes of keeper,7196.31,520.34,927.47,75.66,23.1,85.43,8828.3
United Kingdom,K02000001.,2022,Thousands,Total changes of keeper,6508.85,504.6,883.77,74.43,20.38,81.2,8073.23
United Kingdom,K02000001.,2010,Thousands,Vehicles with 0 changes,25175.24,1576.99,3004.49,530.29,174.18,648.76,31109.95
United Kingdom,K02000001.,2011,Thousands,Vehicles with 0 changes,27206.08,2045.03,3347.1,571.52,189.88,678.19,34037.8
United Kingdom,K02000001.,2012,Thousands,Vehicles with 0 changes,26369.93,1670.74,3194.93,532.8,176.29,745.23,32689.92
United Kingdom,K02000001.,2013,Thousands,Vehicles with 0 changes,26723.23,1783.57,3290.58,545.16,174.6,826.56,33343.7
United Kingdom,K02000001.,2014,Thousands,Vehicles with 0 changes,28682.99,1791.72,3510.87,551.16,178.83,791.49,35507.04
United Kingdom,K02000001.,2015,Thousands,Vehicles with 0 changes,30069.33,1842.89,3754.66,593.72,186.42,832.57,37279.61
United Kingdom,K02000001.,2016,Thousands,Vehicles with 0 changes,31275.52,1951.2,3992.88,622.86,190.29,861.22,38893.98
United Kingdom,K02000001.,2017,Thousands,Vehicles with 0 changes,32249.83,2046.61,4195.06,652.59,192.8,912.38,40249.28
United Kingdom,K02000001.,2018,Thousands,Vehicles with 0 changes,32930.71,2127.61,4375.18,670.33,193.45,944.7,41241.98
United Kingdom,K02000001.,2019,Thousands,Vehicles with 0 changes,33422.09,2202.64,4539.36,696.94,193.89,975.9,42030.81
United Kingdom,K02000001.,2020,Thousands,Vehicles with 0 changes,34231.41,2279.08,4680.05,703.8,192.78,991.21,43078.33
United Kingdom,K02000001.,2021,Thousands,Vehicles with 0 changes,34202.99,2342.69,4922.34,721.27,190.85,1021.43,43401.57
United Kingdom,K02000001.,2022,Thousands,Vehicles with 0 changes,34777.05,2444.67,5087.77,747.07,192.33,1058.13,44307.01
United Kingdom,K02000001.,2010,Thousands,Vehicles with 1 changes,5508.85,318.04,591.86,64.14,25.05,59.86,6567.8
