Geography,Code,Date,Units,Metric,variable,value
United Kingdom,K02000001,2010,thousands,total-changes-of-keeper,bus-n-coach,38.06
United Kingdom,K02000001,2011,thousands,total-changes-of-keeper,bus-n-coach,35.3
United Kingdom,K02000001,2012,thousands,total-changes-of-keeper,bus-n-coach,32.44
United Kingdom,K02000001,2013,thousands,total-changes-of-keeper,bus-n-coach,28.69
United Kingdom,K02000001,2014,thousands,total-changes-of-keeper,bus-n-coach,23.84
United Kingdom,K02000001,2015,thousands,total-changes-of-keeper,bus-n-coach,25.44
United Kingdom,K02000001,2016,thousands,total-changes-of-keeper,bus-n-coach,24.21
United Kingdom,K02000001,2017,thousands,total-changes-of-keeper,bus-n-coach,24.33
United Kingdom,K02000001,2018,thousands,total-changes-of-keeper,bus-n-coach,23.72
United Kingdom,K02000001,2019,thousands,total-changes-of-keeper,bus-n-coach,23.64
United Kingdom,K02000001,2020,thousands,total-changes-of-keeper,bus-n-coach,21.85
United Kingdom,K02000001,2021,thousands,total-changes-of-keeper,bus-n-coach,23.1
United Kingdom,K02000001,2022,thousands,total-changes-of-keeper,bus-n-coach,20.38
United Kingdom,K02000001,2010,thousands,vehicles-with-0-changes,bus-n-coach,174.18
United Kingdom,K02000001,2011,thousands,vehicles-with-0-changes,bus-n-coach,189.88
United Kingdom,K02000001,2012,thousands,vehicles-with-0-changes,bus-n-coach,176.29
United Kingdom,K02000001,2013,thousands,vehicles-with-0-changes,bus-n-coach,174.6
United Kingdom,K02000001,2014,thousands,vehicles-with-0-changes,bus-n-coach,178.83
United Kingdom,K02000001,2015,thousands,vehicles-with-0-changes,bus-n-coach,186.42
United Kingdom,K02000001,2016,thousands,vehicles-with-0-changes,bus-n-coach,190.29
United Kingdom,K02000001,2017,thousands,vehicles-with-0-changes,bus-n-coach,192.8
United Kingdom,K02000001,2018,thousands,vehicles-with-0-changes,bus-n-coach,193.45
United Kingdom,K02000001,2019,thousands,vehicles-with-0-changes,bus-n-coach,193.89
United Kingdom,K02000001,2020,thousands,vehicles-with-0-changes,bus-n-coach,192.78
United Kingdom,K02000001,2021,thousands,vehicles-with-0-changes,bus-n-coach,190.85
United Kingdom,K02000001,2022,thousands,vehicles-with-0-changes,bus-n-coach,192.33
United Kingdom,K02000001,2010,thousands,vehicles-with-1-changes,bus-n-coach,25.05
United Kingdom,K02000001,2011,thousands,vehicles-with-1-changes,bus-n-coach,24.32
United Kingdom,K02000001,2012,thousands,vehicles-with-1-changes,bus-n-coach,23.79
United Kingdom,K02000001,2013,thousands,vehicles-with-1-changes,bus-n-coach,22.34
United Kingdom,K02000001,2014,thousands,vehicles-with-1-changes,bus-n-coach,18.68
United Kingdom,K02000001,2015,thousands,vehicles-with-1-changes,bus-n-coach,20.19
United Kingdom,K02000001,2016,thousands,vehicles-with-1-changes,bus-n-coach,19.64
United Kingdom,K02000001,2017,thousands,vehicles-with-1-changes,bus-n-coach,19.45
United Kingdom,K02000001,2018,thousands,vehicles-with-1-changes,bus-n-coach,18.84
United Kingdom,K02000001,2019,thousands,vehicles-with-1-changes,bus-n-coach,18.44
United Kingdom,K02000001,2020,thousands,vehicles-with-1-changes,bus-n-coach,17.08
United Kingdom,K02000001,2021,thousands,vehicles-with-1-changes,bus-n-coach,17.78
United Kingdom,K02000001,2022,thousands,vehicles-with-1-changes,bus-n-coach,15.81
United Kingdom,K02000001,2010,thousands,vehicles-with-2-changes,bus-n-coach,3.8
United Kingdom,K02000001,2011,thousands,vehicles-with-2-changes,bus-n-coach,3.62
United Kingdom,K02000001,2012,thousands,vehicles-with-2-changes,bus-n-coach,3.31
United Kingdom,K02000001,2013,thousands,vehicles-with-2-changes,bus-n-coach,2.65
United Kingdom,K02000001,2014,thousands,vehicles-with-2-changes,bus-n-coach,2.22
United Kingdom,K02000001,2015,thousands,vehicles-with-2-changes,bus-n-coach,2.23
United Kingdom,K02000001,2016,thousands,vehicles-with-2-changes,bus-n-coach,1.97
United Kingdom,K02000001,2017,thousands,vehicles-with-2-changes,bus-n-coach,2.05
United Kingdom,K02000001,2018,thousands,vehicles-with-2-changes,bus-n-coach,2.06
United Kingdom,K02000001,2019,thousands,vehicles-with-2-changes,bus-n-coach,2.11
United Kingdom,K02000001,2020,thousands,vehicles-with-2-changes,bus-n-coach,1.94
United Kingdom,K02000001,2021,thousands,vehicles-with-2-changes,bus-n-coach,2.16
United Kingdom,K02000001,2022,thousands,vehicles-with-2-changes,bus-n-coach,1.87
United Kingdom,K02000001,2010,thousands,vehicles-with-3-changes,bus-n-coach,0.69
United Kingdom,K02000001,2011,thousands,vehicles-with-3-changes,bus-n-coach,0.54
United Kingdom,K02000001,2012,thousands,vehicles-with-3-changes,bus-n-coach,0.37
United Kingdom,K02000001,2013,thousands,vehicles-with-3-changes,bus-n-coach,0.27
United Kingdom,K02000001,2014,thousands,vehicles-with-3-changes,bus-n-coach,0.2
United Kingdom,K02000001,2015,thousands,vehicles-with-3-changes,bus-n-coach,0.23
